OTU,active
Otu02119,transient
Otu02121,transient
Otu02122,transient
Otu02125,transient
Otu02126,transient
Otu02128,transient
Otu02130,transient
Otu02133,transient
Otu02134,transient
Otu02135,transient
Otu02137,transient
Otu02138,transient
Otu02140,transient
Otu02141,transient
Otu02142,transient
Otu02143,transient
Otu02144,transient
Otu02145,transient
Otu02146,transient
Otu02147,transient
Otu02148,transient
Otu02150,transient
Otu02152,transient
Otu02153,transient
Otu02155,transient
Otu02156,transient
Otu02157,transient
Otu02158,transient
Otu02159,transient
Otu02160,transient
Otu02163,transient
Otu02164,transient
Otu02165,transient
Otu02166,transient
Otu02168,transient
Otu02169,transient
Otu02170,transient
Otu02172,transient
Otu02174,transient
Otu02175,transient
Otu02176,transient
Otu02178,transient
Otu02180,transient
Otu02182,transient
Otu02183,transient
Otu02186,transient
Otu02187,transient
Otu02188,transient
Otu02190,transient
Otu02193,transient
Otu02196,transient
Otu02198,transient
Otu02199,transient
Otu02200,transient
Otu02201,transient
Otu02202,transient
Otu02204,transient
Otu02205,transient
Otu02206,transient
Otu02208,transient
Otu02210,transient
Otu02211,transient
Otu02212,transient
Otu02215,transient
Otu02216,transient
Otu02217,transient
Otu02219,transient
Otu02220,transient
Otu02225,transient
Otu02227,transient
Otu02230,transient
Otu02231,transient
Otu02232,transient
Otu02234,transient
Otu02235,transient
Otu02236,transient
Otu02237,transient
Otu02238,transient
Otu02242,transient
Otu02243,transient
Otu02245,transient
Otu02246,transient
Otu02247,transient
Otu02248,transient
Otu02249,transient
Otu02250,transient
Otu02255,transient
Otu02256,transient
Otu02261,transient
Otu02267,transient
Otu02272,transient
Otu02273,transient
Otu02274,transient
Otu02275,transient
Otu02278,transient
Otu02280,transient
Otu02281,transient
Otu02283,transient
Otu02284,transient
Otu02285,transient
Otu02289,transient
Otu02290,transient
Otu02291,transient
Otu02292,transient
Otu02293,transient
Otu02295,transient
Otu02296,transient
Otu02297,transient
Otu02298,transient
Otu02299,transient
Otu02300,transient
Otu02301,transient
Otu02303,transient
Otu02305,transient
Otu02306,transient
Otu02307,transient
Otu02308,transient
Otu02311,transient
Otu02312,transient
Otu02313,transient
Otu02314,transient
Otu02315,transient
Otu02316,transient
Otu02317,transient
Otu02320,transient
Otu02321,transient
Otu02323,transient
Otu02324,transient
Otu02326,transient
Otu02327,transient
Otu02328,transient
Otu02329,transient
Otu02331,transient
Otu02334,transient
Otu02335,transient
Otu02337,transient
Otu02338,transient
Otu02340,transient
Otu02342,transient
Otu02343,transient
Otu02344,transient
Otu02346,transient
Otu02348,transient
Otu02351,transient
Otu02352,transient
Otu02353,transient
Otu02354,transient
Otu02356,transient
Otu02357,transient
Otu02358,transient
Otu02360,transient
Otu02361,transient
Otu02362,transient
Otu02363,transient
Otu02364,transient
Otu02370,transient
Otu02371,transient
Otu02372,transient
Otu02373,transient
Otu02374,transient
Otu02376,transient
Otu02377,transient
Otu02378,transient
Otu02380,transient
Otu02381,transient
Otu02382,transient
Otu02384,transient
Otu02385,transient
Otu02386,transient
Otu02387,transient
Otu02389,transient
Otu02390,transient
Otu02391,transient
Otu02397,transient
Otu02398,transient
Otu02401,transient
Otu02403,transient
Otu02404,transient
Otu02407,transient
Otu02409,transient
Otu02410,transient
Otu02411,transient
Otu02412,transient
Otu02414,transient
Otu02415,transient
Otu02417,transient
Otu02418,transient
Otu02420,transient
Otu02422,transient
Otu02423,transient
Otu02424,transient
Otu02425,transient
Otu02426,transient
Otu02427,transient
Otu02429,transient
Otu02430,transient
Otu02431,transient
Otu02441,transient
Otu02444,transient
Otu02445,transient
Otu02446,transient
Otu02447,transient
Otu02449,transient
Otu02450,transient
Otu02451,transient
Otu02452,transient
Otu02455,transient
Otu02456,transient
Otu02459,transient
Otu02461,transient
Otu02463,transient
Otu02465,transient
Otu02466,transient
Otu02467,transient
Otu02468,transient
Otu02469,transient
Otu02471,transient
Otu02472,transient
Otu02473,transient
Otu02474,transient
Otu02476,transient
Otu02479,transient
Otu02480,transient
Otu02481,transient
Otu02483,transient
Otu02484,transient
Otu02486,transient
Otu02487,transient
Otu02488,transient
Otu02491,transient
Otu02492,transient
Otu02493,transient
Otu02494,transient
Otu02497,transient
Otu02499,transient
Otu02501,transient
Otu02502,transient
Otu02503,transient
Otu02506,transient
Otu02507,transient
Otu02508,transient
Otu02511,transient
Otu02513,transient
Otu02514,transient
Otu02516,transient
Otu02518,transient
Otu02519,transient
Otu02520,transient
Otu02521,transient
Otu02523,transient
Otu02524,transient
Otu02527,transient
Otu02528,transient
Otu02530,transient
Otu02531,transient
Otu02532,transient
Otu02533,transient
Otu02534,transient
Otu02536,transient
Otu02537,transient
Otu02540,transient
Otu02541,transient
Otu02542,transient
Otu02543,transient
Otu02544,transient
Otu02545,transient
Otu02547,transient
Otu02548,transient
Otu02549,transient
