OTU,active
Otu01816,transient
Otu01817,transient
Otu01820,transient
Otu01824,transient
Otu01825,transient
Otu01828,transient
Otu01829,transient
Otu01831,transient
Otu01832,transient
Otu01834,transient
Otu01835,transient
Otu01838,transient
Otu01839,transient
Otu01841,transient
Otu01842,transient
Otu01844,transient
Otu01845,transient
Otu01846,transient
Otu01848,transient
Otu01850,transient
Otu01851,transient
Otu01852,transient
Otu01855,transient
Otu01856,transient
Otu01857,transient
Otu01859,transient
Otu01862,transient
Otu01863,transient
Otu01865,transient
Otu01869,transient
Otu01870,transient
Otu01871,transient
Otu01873,transient
Otu01874,transient
Otu01875,transient
Otu01876,transient
Otu01878,transient
Otu01879,transient
Otu01880,transient
Otu01881,transient
Otu01882,transient
Otu01886,transient
Otu01888,transient
Otu01889,transient
Otu01890,transient
Otu01891,transient
Otu01894,transient
Otu01897,transient
Otu01898,transient
Otu01901,transient
Otu01904,transient
Otu01906,transient
Otu01909,transient
Otu01910,transient
Otu01913,transient
Otu01914,transient
Otu01915,transient
Otu01917,transient
Otu01920,transient
Otu01921,transient
Otu01922,transient
Otu01924,transient
Otu01925,transient
Otu01926,transient
Otu01928,transient
Otu01930,transient
Otu01932,transient
Otu01933,transient
Otu01937,transient
Otu01938,transient
Otu01940,transient
Otu01941,transient
Otu01943,transient
Otu01945,transient
Otu01946,transient
Otu01947,transient
Otu01948,transient
Otu01949,transient
Otu01950,transient
Otu01951,transient
Otu01953,transient
Otu01957,transient
Otu01958,transient
Otu01959,transient
Otu01960,transient
Otu01963,transient
Otu01967,transient
Otu01970,transient
Otu01971,transient
Otu01972,transient
Otu01973,transient
Otu01975,transient
Otu01976,transient
Otu01977,transient
Otu01978,transient
Otu01980,transient
Otu01981,transient
Otu01982,transient
Otu01983,transient
Otu01985,transient
Otu01987,transient
Otu01988,transient
Otu01991,transient
Otu01993,transient
Otu01996,transient
Otu01998,transient
Otu02000,transient
Otu02002,transient
Otu02005,transient
Otu02006,transient
Otu02009,transient
Otu02010,transient
Otu02011,transient
Otu02012,transient
Otu02013,transient
Otu02014,transient
Otu02018,transient
Otu02022,transient
Otu02024,transient
Otu02025,transient
Otu02026,transient
Otu02030,transient
Otu02031,transient
Otu02032,transient
Otu02035,transient
Otu02037,transient
Otu02040,transient
Otu02042,transient
Otu02044,transient
Otu02047,transient
Otu02048,transient
Otu02050,transient
Otu02053,transient
Otu02054,transient
Otu02055,transient
Otu02056,transient
Otu02057,transient
Otu02059,transient
Otu02060,transient
Otu02061,transient
Otu02063,transient
Otu02064,transient
Otu02067,transient
Otu02068,transient
Otu02069,transient
Otu02070,transient
Otu02071,transient
Otu02075,transient
Otu02076,transient
Otu02079,transient
Otu02080,transient
Otu02081,transient
Otu02083,transient
Otu02084,transient
Otu02086,transient
Otu02088,transient
Otu02092,transient
Otu02093,transient
Otu02096,transient
Otu02097,transient
Otu02098,transient
Otu02099,transient
Otu02100,transient
Otu02102,transient
Otu02103,transient
Otu02104,transient
Otu02105,transient
Otu02107,transient
Otu02108,transient
Otu02111,transient
Otu02112,transient
Otu02113,transient
Otu02115,transient
Otu02117,transient
Otu02118,transient
Otu02119,transient
Otu02121,transient
Otu02122,transient
Otu02125,transient
Otu02126,transient
Otu02128,transient
Otu02130,transient
Otu02133,transient
Otu02134,transient
Otu02135,transient
Otu02138,transient
Otu02140,transient
Otu02141,transient
Otu02142,transient
Otu02143,transient
Otu02144,transient
Otu02145,transient
Otu02146,transient
Otu02147,transient
Otu02148,transient
Otu02150,transient
Otu02152,transient
Otu02155,transient
Otu02156,transient
Otu02157,transient
Otu02158,transient
Otu02160,transient
Otu02163,transient
Otu02164,transient
Otu02165,transient
Otu02166,transient
Otu02168,transient
Otu02169,transient
Otu02170,transient
Otu02172,transient
Otu02174,transient
Otu02175,transient
Otu02176,transient
Otu02178,transient
Otu02180,transient
Otu02182,transient
Otu02186,transient
Otu02188,transient
Otu02190,transient
Otu02196,transient
Otu02198,transient
Otu02199,transient
Otu02200,transient
Otu02201,transient
Otu02202,transient
Otu02204,transient
Otu02205,transient
Otu02206,transient
Otu02208,transient
Otu02210,transient
Otu02211,transient
Otu02212,transient
Otu02215,transient
Otu02217,transient
Otu02219,transient
Otu02220,transient
Otu02225,transient
Otu02230,transient
Otu02231,transient
Otu02232,transient
Otu02234,transient
Otu02235,transient
Otu02236,transient
Otu02237,transient
Otu02238,transient
Otu02243,transient
Otu02245,transient
Otu02246,transient
Otu02247,transient
Otu02248,transient
Otu02249,transient
Otu02250,transient
Otu02255,transient
Otu02256,transient
Otu02261,transient
Otu02267,transient
Otu02272,transient
Otu02273,transient
Otu02274,transient
Otu02275,transient
Otu02280,transient
Otu02281,transient
Otu02283,transient
Otu02284,transient
Otu02285,transient
Otu02289,transient
Otu02290,transient
Otu02293,transient
Otu02296,transient
Otu02297,transient
Otu02298,transient
Otu02299,transient
Otu02301,transient
Otu02303,transient
Otu02305,transient
Otu02306,transient
Otu02307,transient
Otu02308,transient
Otu02311,transient
Otu02312,transient
Otu02313,transient
Otu02314,transient
Otu02315,transient
Otu02316,transient
Otu02317,transient
Otu02320,transient
Otu02321,transient
Otu02323,transient
Otu02326,transient
Otu02327,transient
Otu02329,transient
Otu02331,transient
Otu02334,transient
Otu02335,transient
Otu02337,transient
Otu02338,transient
Otu02340,transient
Otu02342,transient
Otu02344,transient
Otu02346,transient
Otu02348,transient
Otu02351,transient
Otu02352,transient
Otu02353,transient
Otu02354,transient
Otu02357,transient
Otu02360,transient
Otu02361,transient
Otu02362,transient
Otu02363,transient
Otu02364,transient
Otu02370,transient
Otu02371,transient
Otu02372,transient
Otu02373,transient
Otu02374,transient
Otu02376,transient
Otu02377,transient
Otu02378,transient
Otu02380,transient
Otu02381,transient
Otu02382,transient
Otu02384,transient
Otu02385,transient
Otu02386,transient
Otu02387,transient
Otu02390,transient
Otu02391,transient
Otu02397,transient
Otu02398,transient
Otu02401,transient
Otu02403,transient
Otu02404,transient
Otu02407,transient
Otu02409,transient
Otu02410,transient
Otu02411,transient
Otu02412,transient
Otu02414,transient
Otu02415,transient
Otu02417,transient
Otu02418,transient
Otu02420,transient
Otu02422,transient
Otu02423,transient
Otu02424,transient
Otu02425,transient
Otu02426,transient
Otu02429,transient
Otu02431,transient
Otu02441,transient
Otu02444,transient
Otu02445,transient
Otu02446,transient
Otu02447,transient
Otu02449,transient
Otu02450,transient
Otu02451,transient
Otu02452,transient
Otu02455,transient
Otu02456,transient
Otu02459,transient
Otu02461,transient
Otu02465,transient
Otu02466,transient
Otu02467,transient
Otu02468,transient
Otu02469,transient
Otu02471,transient
Otu02472,transient
Otu02473,transient
Otu02474,transient
Otu02476,transient
Otu02479,transient
Otu02480,transient
Otu02481,transient
Otu02483,transient
Otu02484,transient
Otu02486,transient
Otu02487,transient
Otu02488,transient
Otu02492,transient
Otu02493,transient
Otu02494,transient
Otu02497,transient
Otu02499,transient
Otu02501,transient
Otu02502,transient
Otu02503,transient
Otu02506,transient
Otu02507,transient
Otu02508,transient
Otu02511,transient
Otu02513,transient
Otu02514,transient
Otu02516,transient
Otu02518,transient
Otu02519,transient
Otu02520,transient
Otu02521,transient
Otu02523,transient
Otu02524,transient
Otu02527,transient
Otu02528,transient
Otu02530,transient
Otu02531,transient
Otu02532,transient
Otu02533,transient
Otu02534,transient
Otu02536,transient
Otu02537,transient
Otu02540,transient
Otu02542,transient
Otu02543,transient
Otu02545,transient
Otu02547,transient
Otu02548,transient
Otu02549,transient
Otu02551,transient
Otu02552,transient
Otu02553,transient
Otu02554,transient
Otu02555,transient
Otu02556,transient
Otu02557,transient
Otu02558,transient
Otu02561,transient
Otu02562,transient
Otu02563,transient
Otu02565,transient
Otu02566,transient
Otu02569,transient
Otu02572,transient
Otu02573,transient
Otu02575,transient
Otu02576,transient
Otu02577,transient
Otu02578,transient
Otu02579,transient
Otu02586,transient
Otu02589,transient
Otu02590,transient
Otu02591,transient
Otu02593,transient
Otu02594,transient
Otu02595,transient
Otu02596,transient
Otu02597,transient
Otu02598,transient
Otu02601,transient
Otu02602,transient
Otu02603,transient
Otu02604,transient
Otu02605,transient
Otu02606,transient
Otu02608,transient
Otu02610,transient
Otu02612,transient
Otu02615,transient
Otu02618,transient
Otu02619,transient
Otu02620,transient
Otu02621,transient
Otu02622,transient
Otu02624,transient
Otu02627,transient
Otu02631,transient
Otu02633,transient
Otu02634,transient
Otu02635,transient
Otu02636,transient
Otu02637,transient
Otu02639,transient
Otu02640,transient
Otu02641,transient
Otu02643,transient
Otu02646,transient
Otu02647,transient
Otu02649,transient
Otu02650,transient
Otu02651,transient
Otu02652,transient
Otu02653,transient
Otu02654,transient
Otu02655,transient
Otu02656,transient
Otu02658,transient
Otu02659,transient
Otu02662,transient
Otu02667,transient
Otu02669,transient
Otu02671,transient
Otu02674,transient
Otu02675,transient
Otu02679,transient
Otu02681,transient
Otu02682,transient
Otu02689,transient
Otu02690,transient
Otu02694,transient
Otu02696,transient
Otu02697,transient
Otu02698,transient
Otu02702,transient
Otu02703,transient
Otu02704,transient
Otu02706,transient
Otu02708,transient
Otu02712,transient
Otu02714,transient
Otu02715,transient
Otu02716,transient
Otu02719,transient
Otu02720,transient
Otu02721,transient
Otu02723,transient
Otu02724,transient
Otu02731,transient
Otu02733,transient
Otu02734,transient
Otu02736,transient
Otu02737,transient
Otu02739,transient
Otu02740,transient
Otu02741,transient
Otu02743,transient
Otu02746,transient
Otu02747,transient
Otu02750,transient
Otu02751,transient
Otu02753,transient
Otu02755,transient
Otu02757,transient
Otu02758,transient
Otu02759,transient
Otu02760,transient
Otu02761,transient
Otu02762,transient
Otu02763,transient
Otu02764,transient
Otu02766,transient
Otu02768,transient
Otu02774,transient
Otu02775,transient
Otu02777,transient
Otu02779,transient
Otu02780,transient
Otu02783,transient
Otu02784,transient
Otu02785,transient
Otu02786,transient
Otu02787,transient
Otu02792,transient
Otu02793,transient
Otu02795,transient
Otu02796,transient
Otu02797,transient
Otu02798,transient
Otu02800,transient
Otu02801,transient
Otu02802,transient
Otu02803,transient
Otu02805,transient
Otu02806,transient
Otu02807,transient
Otu02808,transient
Otu02809,transient
Otu02810,transient
Otu02811,transient
Otu02813,transient
Otu02815,transient
Otu02821,transient
Otu02822,transient
Otu02823,transient
Otu02824,transient
Otu02826,transient
Otu02827,transient
Otu02828,transient
Otu02833,transient
Otu02834,transient
Otu02835,transient
Otu02836,transient
Otu02839,transient
Otu02843,transient
Otu02847,transient
Otu02848,transient
Otu02849,transient
Otu02851,transient
Otu02852,transient
Otu02854,transient
Otu02855,transient
Otu02856,transient
Otu02857,transient
Otu02858,transient
Otu02863,transient
Otu02865,transient
Otu02868,transient
Otu02871,transient
Otu02873,transient
Otu02874,transient
Otu02875,transient
Otu02876,transient
Otu02877,transient
Otu02880,transient
Otu02882,transient
Otu02883,transient
Otu02885,transient
Otu02888,transient
Otu02889,transient
Otu02891,transient
Otu02892,transient
Otu02894,transient
Otu02896,transient
Otu02897,transient
Otu02898,transient
Otu02900,transient
Otu02901,transient
Otu02902,transient
Otu02904,transient
Otu02908,transient
Otu02909,transient
Otu02911,transient
Otu02912,transient
Otu02914,transient
Otu02916,transient
Otu02917,transient
Otu02919,transient
Otu02922,transient
Otu02925,transient
Otu02928,transient
Otu02929,transient
Otu02930,transient
Otu02931,transient
Otu02936,transient
Otu02940,transient
Otu02941,transient
Otu02942,transient
Otu02945,transient
